[+] PPP: Beggining PIGA policy parsing and loading...
[+] PPP: Policy successfully parsed. Setting up in the kernel...
[+] PPP: PIGA policy loadded :
[+] 	240853 signatures have been loaded
[+] 	156946 signatures have been ignored
[+] Policy stats : '<name> (<uint>): <count>'
[+] 	SID stats :
[+] 		root:object_r:gpg_agent_tmp_t (0): 3295
[+] 		root:object_r:home_ssh_t (136): 3295
[+] 		root:object_r:iceauth_home_t (0): 823
[+] 		root:object_r:java_tmp_t (0): 5
[+] 		root:object_r:ld_so_cache_t (420): 5
[+] 		root:object_r:ooffice_home_t (0): 31
[+] 		root:object_r:portage_tmp_t (389): 11
[+] 		root:object_r:session_dbusd_tmp_t (0): 27
[+] 		root:object_r:ssh_agent_tmp_t (346): 71
[+] 		root:object_r:user_devpts_t (207): 1025
[+] 		root:object_r:user_fonts_cache_t (0): 931
[+] 		root:object_r:user_fonts_config_t (0): 823
[+] 		root:object_r:user_fonts_t (0): 823
[+] 		root:object_r:user_home_t (208): 8457
[+] 		root:object_r:user_mozilla_tmp_t (0): 431
[+] 		root:object_r:user_mozilla_tmpfs_t (0): 971
[+] 		root:object_r:user_tmp_t (114): 8377
[+] 		root:object_r:user_tty_device_t (566): 913
[+] 		root:object_r:xauth_home_t (0): 823
[+] 		root:object_r:xserver_tmp_t (0): 931
[+] 		root:object_r:xserver_tmpfs_t (0): 931
[+] 		root:staff_r:chfn_t (150): 512
[+] 		root:staff_r:chkpwd_t (147): 1257
[+] 		root:staff_r:cronjob_t (156): 48
[+] 		root:staff_r:crontab_t (157): 512
[+] 		root:staff_r:gpg_agent_t (0): 1175
[+] 		root:staff_r:gpg_helper_t (0): 220
[+] 		root:staff_r:gpg_pinentry_t (0): 391
[+] 		root:staff_r:gpg_t (0): 1546
[+] 		root:staff_r:iceauth_t (0): 170
[+] 		root:staff_r:java_t (0): 377
[+] 		root:staff_r:newrole_t (145): 26276
[+] 		root:staff_r:pam_t (142): 170
[+] 		root:staff_r:passwd_t (148): 512
[+] 		root:staff_r:ping_t (143): 195
[+] 		root:staff_r:ssh_t (151): 512
[+] 		root:staff_r:staff_dbusd_t (0): 170
[+] 		root:staff_r:staff_ssh_agent_t (153): 180
[+] 		root:staff_r:staff_su_t (154): 854
[+] 		root:staff_r:staff_sudo_t (0): 25934
[+] 		root:staff_r:staff_t (152): 68186
[+] 		root:staff_r:traceroute_t (146): 195
[+] 		root:staff_r:updpwd_t (149): 231
[+] 		root:staff_r:user_home_t (0): 945
[+] 		root:staff_r:user_mail_t (155): 170
